Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
34,18,Q72H64|Q72H64_THET2,99.2,335.99,38,28,26,,66897,Hypothetical conserved protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1631 PE=4 SV=1
4,14,Q72J03|Q72J03_THET2,99.2,332.98,64,44,40,Oxidation (M); Carbamidomethylation,42285,Citrate synthase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0978 PE=3 SV=1
26,43,Q72L52|Q72L52_THET2,99.2,332.30,47,20,19,Oxidation (M),42148,Sugar-binding transport ATP-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0211 PE=4 SV=1
22,10,Q72L70|Q72L70_THET2,99.2,323.30,39,38,36,,90024,Outer membrane protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0193 PE=4 SV=1
63,228,Q72IL4|Q72IL4_THET2,99.1,321.89,68,14,13,,16015,Bacterioferritin OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1118 PE=3 SV=1
21,30,sp|P62662|RS2_THET2,99.2,320.23,67,24,24,Oxidation (M),29277,30S ribosomal protein S2 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsB PE=1 SV=2
53,73,Q72IH8|Q72IH8_THET2,99.2,319.19,66,18,17,Oxidation (M),26218,Hypothetical conserved protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1154 PE=4 SV=1
44,56,Q72GQ8|Q72GQ8_THET2,99.2,318.46,54,20,20,Oxidation (M),40289,C4-dicarboxylate-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1790 PE=3 SV=1
66,65,sp|Q72GD1|NUOD_THET2,99.2,315.63,33,12,12,Oxidation (M),46423,NADH-quinone oxidoreductase subunit D OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=nuoD PE=3 SV=1
5,29,sp|P62664|RS4_THET2,99.2,312.51,77,35,34,Oxidation (M); Carbamidomethylation,24324,30S ribosomal protein S4 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsD PE=1 SV=2
47,3,Q72H84|Q72H84_THET2,99.2,311.16,47,22,20,Oxidation (M),51195,Pyruvate kinase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1611 PE=3 SV=1
60,72,Q72K12|Q72K12_THET2,99.2,309.25,60,13,13,Oxidation (M),28709,Phenylacetic acid degradation protein paaC OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=paaC PE=4 SV=1
28,25,Q72JA6|Q72JA6_THET2,99.2,307.48,58,19,19,Oxidation (M),38949,Spermidine/putrescine-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0873 PE=3 SV=1
17,7,sp|P61490|CH60_THET2,99.2,306.93,38,32,31,Oxidation (M),57889,Chaperonin GroEL OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=groEL PE=1 SV=2
54,115,sp|Q72GS1|RL10_THET2,99.1,305.43,66,14,11,,18566,50S ribosomal protein L10 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplJ PE=1 SV=1
25,42,sp|Q72GV9|RL1_THET2,99.2,302.86,65,18,16,Oxidation (M),24826,50S ribosomal protein L1 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplA PE=1 SV=3
19,44,sp|Q72I16|RL5_THET2,99.2,302.32,71,24,23,Oxidation (M),21044,50S ribosomal protein L5 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplE PE=1 SV=3
23,17,sp|P62420|PGK_THET2,99.2,302.32,59,28,24,Oxidation (M),41791,Phosphoglycerate kinase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=pgk PE=3 SV=1
9,16,Q72IL1|Q72IL1_THET2,99.2,300.54,48,29,28,Oxidation (M),44674,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1121 PE=4 SV=1
13,124,Q72IL2|Q72IL2_THET2,99.2,291.25,91,26,24,,15743,Small heat shock protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1120 PE=3 SV=1
35,41,Q72J67|Q72J67_THET2,99.2,291.01,31,25,25,Formylation,72148,V-type ATP synthase subunit I OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0912 PE=3 SV=1
97,165,Q72KA7|Q72KA7_THET2,99.1,287.55,39,10,9,,24340,Hypothetical membrane spanning protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0540 PE=4 SV=1
30,24,sp|Q72IH2|GLYA_THET2,99.2,286.95,50,22,20,Oxidation (M),44533,Serine hydroxymethyltransferase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=glyA PE=3 SV=2
91,13,sp|Q72HM5|RPOB_THET2,99.2,286.89,15,13,12,Oxidation (M),125260,DNA-directed RNA polymerase subunit beta OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpoB PE=3 SV=1
29,20,sp|Q72IK5|DNAK_THET2,99.2,286.50,34,25,25,,66810,Chaperone protein DnaK OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=dnaK PE=3 SV=1
38,101,sp|Q72IA7|RL25_THET2,99.2,286.47,80,16,16,Oxidation (M),23205,50S ribosomal protein L25 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplY PE=1 SV=1
74,47,sp|Q72JC8|ILVC_THET2,99.2,284.59,54,14,13,Carbamidomethylation,37078,Ketol-acid reductoisomerase (NADP(+)) OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=ilvC PE=3 SV=1
49,9,Q72KF0|Q72KF0_THET2,99.2,283.90,29,21,17,,79678,Multifunctional fusion protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=secD PE=3 SV=1
37,169,Q72HC5|Q72HC5_THET2,99.1,277.50,44,17,17,Oxidation (M),25991,Cytochrome c OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1570 PE=4 SV=1
79,100,Q72K56|Q72K56_THET2,99.2,276.68,67,11,11,Carbamidomethylation,23002,Thiol:disulfide interchange protein dsbA OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=dsbA PE=4 SV=1
56,19,Q72J48|Q72J48_THET2,99.2,273.83,29,22,20,,70765,Methionine--tRNA ligase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=metG PE=3 SV=1
45,154,sp|Q72HR2|RL21_THET2,99.1,273.51,79,15,13,,11047,50S ribosomal protein L21 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplU PE=1 SV=1
27,23,sp|O66271|FUMC_THET2,99.2,273.06,34,17,17,Oxidation (M),50883,Fumarate hydratase class II OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=fumC PE=3 SV=2
71,50,Q72JH9|Q72JH9_THET2,99.2,271.98,47,15,14,,32605,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0793 PE=4 SV=1
36,33,sp|Q72I32|RPOA_THET2,99.2,271.82,45,17,16,Oxidation (M),35013,DNA-directed RNA polymerase subunit alpha OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpoA PE=3 SV=1
84,63,Q72IN7|Q72IN7_THET2,99.2,269.41,39,12,11,Carbamidomethylation,33873,ABC transporter ATP-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1095 PE=4 SV=1
39,51,sp|Q72I07|RL2_THET2,99.2,268.86,57,21,20,Oxidation (M); Carbamidomethylation,30468,50S ribosomal protein L2 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplB PE=1 SV=1
51,55,sp|Q72I19|RL6_THET2,99.2,267.13,77,17,16,Oxidation (M),19532,50S ribosomal protein L6 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplF PE=1 SV=1
95,181,sp|Q72I20|RL18_THET2,99.1,265.48,64,10,8,,12612,50S ribosomal protein L18 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplR PE=1 SV=3
130,61,Q72IN3|Q72IN3_THET2,99.1,264.49,22,8,8,Carbamidomethylation,62489,Long-chain-fatty-acid-CoA ligase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1099 PE=4 SV=1
90,157,Q72H95|Q72H95_THET2,99.1,264.25,62,15,13,,19216,Inorganic pyrophosphatase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=ppa PE=3 SV=1
50,152,sp|P62665|RS5_THET2,99.1,259.84,56,10,9,Oxidation (M),17557,30S ribosomal protein S5 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsE PE=1 SV=2
93,40,Q72GU9|Q72GU9_THET2,99.2,258.45,43,13,11,Carbamidomethylation,31340,3-hydroxyisobutyrate dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1749 PE=4 SV=1
80,90,Q72GS8|Q72GS8_THET2,99.2,257.54,41,11,10,Oxidation (M),38647,Alanine dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1770 PE=3 SV=1
146,91,Q72GT6|Q72GT6_THET2,99.1,257.45,28,8,8,Carbamidomethylation,38087,Glucose-1-phosphate thymidylyltransferase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1762 PE=4 SV=1
64,149,Q72JK2|Q72JK2_THET2,99.0,256.07,9,12,12,Oxidation (M),62528,Subunit II of C(O/B)3-type cytochrome c oxidase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0770 PE=3 SV=1
70,82,Q72HB6|Q72HB6_THET2,99.1,254.62,51,10,10,,21629,Hypothetical exported protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1579 PE=3 SV=1
57,194,Q72JK3|Q72JK3_THET2,99.0,252.51,56,11,9,Oxidation (M); Carbamidomethylation,18563,Cytochrome-c oxidase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0769 PE=4 SV=1
61,145,sp|Q72I06|RL23_THET2,99.1,252.21,80,14,14,Oxidation (M),10737,50S ribosomal protein L23 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplW PE=1 SV=1
78,105,Q72IL7|Q72IL7_THET2,99.1,252.20,48,12,11,,16861,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1115 PE=4 SV=1
143,185,sp|Q72JV2|TTUD_THET2,99.0,252.18,29,6,6,,32925,Sulfur carrier protein TtuD OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=ttuD PE=1 SV=1
55,35,Q72L91|Q72L91_THET2,99.2,249.92,45,17,16,Carbamidomethylation,29808,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=sucD PE=3 SV=1
72,108,sp|Q72J35|UPP_THET2,99.1,249.02,43,11,10,Oxidation (M),22762,Uracil phosphoribosyltransferase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=upp PE=1 SV=1
48,94,sp|P62658|RS17_THET2,99.1,248.88,70,15,13,Oxidation (M),12297,30S ribosomal protein S17 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsQ PE=1 SV=2
87,78,Q72J50|Q72J50_THET2,99.2,246.63,28,14,13,Oxidation (M),47751,Tail-specific protease OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0929 PE=3 SV=1
131,86,Q72IP9|Q72IP9_THET2,99.1,240.65,22,8,8,,48409,4-hydroxybutyrate coenzyme A transferase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1083 PE=3 SV=1
52,57,Q72GY3|Q72GY3_THET2,99.2,238.21,32,19,16,,58014,Metal-dependent carboxypeptidase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1715 PE=1 SV=1
111,70,sp|Q72IE5|GUAA_THET2,99.2,238.02,24,10,10,,55789,GMP synthase [glutamine-hydrolyzing] OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=guaA PE=3 SV=1
110,294,sp|P62654|RS11_THET2,98.4,237.81,29,6,6,,13713,30S ribosomal protein S11 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsK PE=1 SV=2
68,148,sp|Q72L76|RL20_THET2,99.1,237.72,52,12,12,Carbamidomethylation,13743,50S ribosomal protein L20 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplT PE=1 SV=1
46,49,sp|Q72J95|ACSA_THET2,99.2,236.11,27,24,23,,73076,Acetyl-coenzyme A synthetase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=acsA PE=3 SV=1
67,93,Q72K10|Q72K10_THET2,99.2,234.71,40,12,10,Oxidation (M); Carbamidomethylation,37375,Phenylacetic acid degradation protein paaA OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=paaA PE=4 SV=1
11,31,sp|P61977|MDH_THET2,99.2,234.66,54,33,29,Oxidation (M),35426,Malate dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=mdh PE=3 SV=1
123,97,Q72GL5|Q72GL5_THET2,99.1,233.54,30,10,8,,34040,Quinone oxidoreductase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1833 PE=3 SV=1
24,32,Q72J17|Q72J17_THET2,99.2,231.94,34,29,25,,59942,5'-nucleotidase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0964 PE=3 SV=1
75,64,sp|Q72IB8|PRODH_THET2,99.2,229.41,39,13,12,Oxidation (M),35492,Proline dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1214 PE=1 SV=1
86,135,sp|P62667|RS7_THET2,99.1,229.01,51,9,9,Oxidation (M); Carbamidomethylation,18016,30S ribosomal protein S7 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsG PE=1 SV=2
77,216,Q72IL6|Q72IL6_THET2,99.1,228.18,46,13,12,,15827,Small heat shock protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1116 PE=3 SV=1
42,52,Q72IP2|Q72IP2_THET2,99.2,227.84,43,23,22,Oxidation (M),39016,Succinate dehydrogenase flavoprotein subunit-like protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1090 PE=4 SV=1
152,161,Q72L39|Q72L39_THET2,98.8,223.23,30,5,5,Oxidation (M); Carbamidomethylation,21367,Thiol-disulfide isomerase/thioredoxin OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0224 PE=4 SV=1
132,110,Q72GQ1|Q72GQ1_THET2,99.1,222.93,38,7,7,,20511,Hypothetical conserved protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1797 PE=4 SV=1
62,114,sp|Q72I14|RL14_THET2,99.1,222.04,70,10,10,Oxidation (M); Carbamidomethylation,13289,50S ribosomal protein L14 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplN PE=1 SV=1
69,54,Q72J07|Q72J07_THET2,99.2,220.46,34,13,12,,38056,PrcB_C domain-containing protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0974 PE=4 SV=1
102,45,Q72IC1|Q72IC1_THET2,99.1,220.29,22,8,8,,46113,Glutamate dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1211 PE=1 SV=1
167,146,Q72I68|Q72I68_THET2,99.1,218.72,29,7,7,,36156,Iron(III)-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1264 PE=4 SV=1
40,37,Q72GZ6|Q72GZ6_THET2,99.2,218.69,31,20,19,Oxidation (M),44611,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1699 PE=3 SV=1
106,68,Q72LI4|Q72LI4_THET2,99.2,214.01,32,12,12,Oxidation (M),47917,Membrane protein insertase YidC OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=yidC PE=3 SV=1
98,74,Q72GB8|Q72GB8_THET2,99.2,213.94,7,12,11,,198664,Ribonucleoside-diphosphate reductase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1930 PE=3 SV=1
138,264,Q72GD2|Q72GD2_THET2,98.4,211.95,24,6,5,,20286,NADH-quinone oxidoreductase chain E OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1916 PE=3 SV=1
41,77,sp|P62668|RS8_THET2,99.2,211.55,80,19,18,Oxidation (M); Carbamidomethylation,15837,30S ribosomal protein S8 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsH PE=1 SV=1
101,120,Q72I24|Q72I24_THET2,99.1,211.08,15,9,7,,48195,Protein translocase subunit SecY OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=secY PE=3 SV=1
65,177,Q72KI4|Q72KI4_THET2,99.0,208.70,48,7,6,,15517,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0476 PE=4 SV=1
76,162,sp|Q72I09|RL22_THET2,99.1,208.47,61,12,11,Oxidation (M),12780,50S ribosomal protein L22 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplV PE=1 SV=1
126,71,Q72KR0|Q72KR0_THET2,99.1,207.69,35,8,8,Carbamidomethylation,33057,Metallo-beta-lactamase protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0458 PE=4 SV=1
43,141,sp|Q72JU9|RL19_THET2,99.1,207.21,47,14,14,,17181,50S ribosomal protein L19 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplS PE=1 SV=1
89,48,sp|P61488|AK_THET2,99.2,206.72,25,12,10,,43333,Aspartokinase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=ask PE=3 SV=1
139,96,Q72GJ7|Q72GJ7_THET2,99.1,205.87,36,7,7,,25028,Phosphate-specific transport system accessory protein PhoU OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=phoU PE=3 SV=1
94,81,sp|Q72I23|RL15_THET2,99.2,205.70,55,11,11,Oxidation (M),16281,50S ribosomal protein L15 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplO PE=1 SV=1
118,107,sp|Q72GX5|PSTB_THET2,99.1,205.32,27,9,9,Oxidation (M); Carbamidomethylation,30488,Phosphate import ATP-binding protein PstB OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=pstB PE=3 SV=1
156,111,sp|Q72JT2|FLOA_THET2,99.1,204.97,26,8,7,,34868,Flotillin-like protein FloA OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=floA PE=3 SV=1
99,38,sp|Q72HA0|SYFB_THET2,99.2,204.03,14,11,10,,86656,Phenylalanine--tRNA ligase beta subunit OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=pheT PE=3 SV=1
247,163,Q72LE4|Q72LE4_THET2,98.9,203.60,22,4,4,,35492,Homoserine dehydrogenase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0115 PE=3 SV=1
88,59,Q72JU1|Q72JU1_THET2,99.2,202.59,21,14,12,,62693,Methylmalonyl-CoA mutase large subunit OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0677 PE=4 SV=1
169,112,Q72HD6|Q72HD6_THET2,99.1,202.09,13,6,5,,60375,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1557 PE=4 SV=1
144,217,Q72LK7|Q72LK7_THET2,99.0,201.74,34,4,4,,17727,Probable nitrilotriacetate monooxygenase component B OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0052 PE=1 SV=1
145,230,Q72HC7|Q72HC7_THET2,98.9,201.12,31,8,7,,22438,Rieske iron-sulfur protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1568 PE=4 SV=1
137,222,Q72JP2|Q72JP2_THET2,99.0,199.97,40,7,4,,17635,Hypothetical conserved protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0726 PE=4 SV=1
33,125,sp|Q72IN1|RL13_THET2,99.2,199.93,57,17,13,Oxidation (M),15895,50S ribosomal protein L13 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rplM PE=1 SV=2
82,218,sp|P62238|RS16_THET2,99.0,199.70,55,9,9,,10387,30S ribosomal protein S16 OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpsP PE=1 SV=1
